id,verbo
489,consistir
490,construir
491,contar
492,contener
493,continuar
494,contraer
495,convencer
496,convertir
497,corregir
498,correr
499,cortar
500,coser
501,costar
502,crear
503,crecer
504,creer
505,criar
506,criticar
507,crujir
508,cruzar
509,cubrir
510,cuidar
511,cumplir
512,curar
513,caducar
514,calzar
515,caracterizar
516,carecer
517,chatear
518,chocar
519,cicatrizar
520,circular
521,cohibir
522,colar
523,comerciar
524,comisionar
525,compactar
526,compartir
527,compensar
528,competir
529,compilar
530,complacer
531,completar
532,componer
533,comportarse
534,comprobar
535,comprometer
536,computar
537,comunicar
538,concebir
539,conceder
540,concentrar
541,concordar
542,concretar
543,condensar
544,condicionar
545,conectar
546,conexionar
547,confeccionar
548,conferir
549,confesar
550,configurar
551,confinar
552,confirmar
553,conformar
554,confortar
555,confrontar
556,congelar
557,congelarse
558,congratular
559,conjeturar
560,conjugar
561,conllevar
562,conmover
563,conocer
564,conquistar
565,consagrar
566,consentir
567,conservar
568,consignar
569,consolidar
570,conspirar
571,constar
572,constatar
573,constituir
574,consultar
575,consumir
576,contactar
577,contagiar
578,contaminar
579,contemplar
580,contentar
581,contestar
582,contrabalancear
583,contradecir
584,contramandar
585,contrarrestar
586,contrastar
587,contratar
588,contribuir
589,controlar
590,convalidar
591,conversar
592,convidar
593,convivir
594,convulsionar
595,cooperar
596,coordinar
597,copiar
598,copular
599,coquetear
600,coronar
601,corresponder
602,corroborar
603,cortejar
604,cosechar
605,cosquillear
606,cotejar
607,cotillear
608,crepitar
609,croar
610,cronometrar
611,cuadrar
612,cuajar
613,cuartear
614,cuchichear
615,cuestionar
616,culminar
617,culpar
618,cultivar
619,cundir
620,cursar
621,curtir
622,curvar
623,custodiar
624,damnificar
625,dar
626,datar
627,dañar
628,deambular
629,debatir
630,deber
631,debilitar
632,decantar
633,decapitar
634,decepcionar
635,decidir
636,decidirse
637,decir
638,declamar
639,declarar
640,declinar
641,decomisar
642,decorar
643,decretar
644,dedicar
645,deducir
646,defender
647,definir
648,deformar
649,defraudar
650,degenerar
651,degradar
652,degustar
653,dejar
654,delatar
655,deleitar
656,deletrear
657,deliberar
658,delimitar
659,delinear
660,demandar
661,demoler
662,demorar
663,demostrar
664,denigrar
665,denominar
666,denotar
667,denunciar
668,depender
669,deplorar
670,deportar
671,depositar
672,depravar
673,depreciar
674,deprimir
675,depurar
676,derivar
677,derramar
678,derribar
679,derrochar
680,derrotar
681,derruir
682,desabrochar
683,desacreditar
684,desactivar
685,desahuciar
686,desalojar
687,desanimar
688,desaparecer
689,desarmar
690,desarreglar
691,desarrollar
692,desatar
693,desayunar
694,descansar
695,descarrilar
696,descartar
697,descascarar
698,descifrar
699,desconectar
700,descongelar
701,descontaminar
702,describir
703,descubrir
704,descuidar
705,desdeñar
706,desdibujar
